cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret
HT29,tanimoto+zero,7,67574.0,713563.0,2.999999970665357e-10,9.999999747378752e-05,7.782000064849853,103.3419976234436
HT29,tanimoto+zero,8,92859.0,747599.0,6.000000212225132e-06,9.99999993922529e-09,0.0599999986588954,95.61999755725265
HT29,tanimoto+zero,9,82151.0,713563.0,1.999999943436137e-09,9.999999747378752e-05,2.315000057220459,97.8749976158142
MDA-MB-231/ATCC,act_hamming+zero,0,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,1,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,2,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,3,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,4,27640.0,754143.0,7.000000135093387e-09,9.99999993922529e-09,-80.41999816894531,13.550003051757812
MDA-MB-231/ATCC,act_hamming+zero,5,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,6,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,7,82151.0,713563.0,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,39.42900085449219
MDA-MB-231/ATCC,act_hamming+zero,8,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
MDA-MB-231/ATCC,act_hamming+zero,9,740.0,24559.0,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,46.60000228881836
