cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,source
T-47D,combo_diffusion,7,701852,747973,1.0000000116860974e-07,3.000000106112566e-07,14.850000381469727,109.79000282287598,bo_selection
T-47D,bocs_sparse,7,85998,747973,9.999999974752427e-07,3.000000106112566e-07,-31.5,63.44000244140625,bo_selection
T-47D,combo_diffusion,8,628503,763371,2.999999892949745e-08,9.999999974752427e-07,22.07900047302246,117.01900291442871,bo_selection
T-47D,bocs_sparse,8,628503,763371,2.999999892949745e-08,1.0000000116860974e-07,17.628999710083008,112.56900215148926,bo_selection
T-47D,combo_diffusion,9,141540,715055,4.999999873689376e-06,9.999999747378752e-06,21.92300033569336,116.86300277709961,bo_selection
T-47D,bocs_sparse,9,762,25154,4.999999873689376e-06,3.000000106112566e-06,33.91999816894531,128.86000061035156,bo_selection
MOLT-4,combo_diffusion,0,27640,673596,6.999999868639861e-08,9.99999993922529e-09,-99.33000183105469,0.5800018310546875,bo_selection
MOLT-4,bocs_sparse,0,27640,673596,6.999999868639861e-08,9.99999993922529e-09,-99.33000183105469,0.5800018310546875,bo_selection
MOLT-4,combo_diffusion,1,24559,754143,9.999999974752427e-07,9.999999717180685e-10,-92.11000061035156,7.8000030517578125,bo_selection
MOLT-4,bocs_sparse,1,24559,754143,9.999999974752427e-07,9.999999717180685e-10,-92.11000061035156,7.8000030517578125,bo_selection
MOLT-4,combo_diffusion,2,141540,606869,4.999999873689376e-06,9.999999974752427e-07,-90.52400207519531,9.386001586914062,bo_selection
MOLT-4,bocs_sparse,2,82151,141540,1.999999987845058e-08,4.999999873689376e-06,-91.21099853515625,8.699005126953125,bo_selection
MOLT-4,combo_diffusion,3,63878,105014,9.99999993922529e-09,1.0000000116860974e-07,-99.70999908447266,0.20000457763671875,bo_selection
MOLT-4,bocs_sparse,3,63878,105014,9.99999993922529e-09,1.0000000116860974e-07,-99.70999908447266,0.20000457763671875,bo_selection
MOLT-4,combo_diffusion,5,169780,761432,9.999999747378752e-05,5.000000058430487e-08,-91.1760025024414,8.734001159667969,bo_selection
MOLT-4,bocs_sparse,5,27640,673596,6.999999868639861e-08,9.99999993922529e-09,-99.33000183105469,0.5800018310546875,bo_selection
MOLT-4,combo_diffusion,4,27640,712807,6.999999868639861e-08,2.0000000233721948e-07,-95.9800033569336,3.9300003051757812,bo_selection
MOLT-4,bocs_sparse,4,63878,673596,9.999999974752427e-07,9.999999717180685e-10,-99.87999725341797,0.03000640869140625,bo_selection
MOLT-4,combo_diffusion,6,63878,102816,9.999999974752427e-07,3.000000106112566e-06,-98.20999908447266,1.7000045776367188,bo_selection
MOLT-4,bocs_sparse,6,6396,63878,9.999999747378752e-06,9.999999974752427e-07,-99.9000015258789,0.01000213623046875,bo_selection
MOLT-4,combo_diffusion,7,750,14229,4.999999873689376e-06,3.000000106112566e-06,-95.91999816894531,3.9900054931640625,bo_selection
MOLT-4,bocs_sparse,7,686673,719345,1.9999999949504854e-06,4.0000000467443897e-07,-98.66000366210938,1.25,bo_selection
MOLT-4,combo_diffusion,8,169780,761432,9.999999747378752e-05,5.000000058430487e-08,-91.1760025024414,8.734001159667969,bo_selection
MOLT-4,bocs_sparse,8,673596,755986,2.999999892949745e-08,2.499999936844688e-05,-80.64299774169922,19.267005920410156,bo_selection
MOLT-4,combo_diffusion,9,1390,279836,0.00019999999494757503,5.000000058430487e-08,-84.98699951171875,14.923004150390625,bo_selection
MOLT-4,bocs_sparse,9,82151,122819,1.999999987845058e-08,9.999999974752427e-07,-90.92900085449219,8.981002807617188,bo_selection
