dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter
almanac,SN12C,bo_selection,tanimoto+zero,9,34462,713563,4.999999873689376e-05,9.999999747378752e-05,-30.3700008392334,60.60000038146973,-90.97000122070312,False,21,1,1518,17603,4000,46508,10,20
almanac,SN12C,pool_optimum,pool_optimum,-1,26980,754143,5.000000058430487e-08,9.99999993922529e-09,-90.97000122070312,0.0,-90.97000122070312,True,-1,1,1351,15575,4000,46508,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,0,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,1,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,2,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,3,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,4,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,5,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,6,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,7,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,16,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,8,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,act_hamming+zero,9,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,hamming+zero,0,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
almanac,SNB-19,bo_selection,hamming+zero,1,740,1390,1.0000000116860974e-07,1.0000000116860974e-07,-51.599998474121094,33.31999969482422,-84.91999816894531,False,15,1,5,42,4000,46679,10,20
